filename, language, JSON, JavaScript, Log, comment, blank, total
e:\Attendance\.expo-shared\assets.json, JSON, 25, 0, 0, 0, 1, 26
e:\Attendance\.watchmanconfig, JSON, 1, 0, 0, 0, 1, 2
e:\Attendance\App.js, JavaScript, 0, 25, 0, 0, 9, 34
e:\Attendance\Home.js, JavaScript, 0, 20, 0, 0, 0, 20
e:\Attendance\actions\auth.js, JavaScript, 0, 77, 0, 0, 6, 83
e:\Attendance\actions\user.js, JavaScript, 0, 30, 0, 1, 5, 36
e:\Attendance\app.json, JSON, 26, 0, 0, 6, 3, 35
e:\Attendance\babel.config.js, JavaScript, 0, 6, 0, 0, 1, 7
e:\Attendance\components\ActionBarImage.js, JavaScript, 0, 20, 0, 0, 3, 23
e:\Attendance\components\AttendanceBox.js, JavaScript, 0, 68, 0, 0, 11, 79
e:\Attendance\components\AttendanceBoxes.js, JavaScript, 0, 288, 0, 0, 14, 302
e:\Attendance\components\Card.js, JavaScript, 0, 20, 0, 0, 4, 24
e:\Attendance\components\HeaderButton.js, JavaScript, 0, 16, 0, 0, 4, 20
e:\Attendance\components\Input.js, JavaScript, 0, 98, 0, 0, 11, 109
e:\Attendance\components\config.js, JavaScript, 0, 11, 0, 0, 5, 16
e:\Attendance\constants\Colors.js, JavaScript, 0, 4, 0, 0, 2, 6
e:\Attendance\debug.log, Log, 0, 0, 4, 0, 1, 5
e:\Attendance\models\user.js, JavaScript, 0, 9, 0, 0, 3, 12
e:\Attendance\navigation\MainNavigator.js, JavaScript, 0, 662, 0, 7, 64, 733
e:\Attendance\package-lock.json, JSON, 8764, 0, 0, 0, 1, 8765
e:\Attendance\package.json, JSON, 46, 0, 0, 0, 1, 47
e:\Attendance\reducers\auth.js, JavaScript, 0, 26, 0, 0, 2, 28
e:\Attendance\reducers\user.js, JavaScript, 0, 23, 0, 0, 5, 28
e:\Attendance\screens\AboutAppScreen.js, JavaScript, 0, 145, 0, 2, 8, 155
e:\Attendance\screens\AddAttendanceScreen.js, JavaScript, 0, 202, 0, 0, 15, 217
e:\Attendance\screens\AddFacultyScreen.js, JavaScript, 0, 250, 0, 0, 17, 267
e:\Attendance\screens\AddRoleScreen.js, JavaScript, 0, 120, 0, 0, 18, 138
e:\Attendance\screens\AddStudentScreen.js, JavaScript, 0, 681, 0, 7, 15, 703
e:\Attendance\screens\AddSubjectScreen.js, JavaScript, 0, 368, 0, 5, 7, 380
e:\Attendance\screens\AdminScreen.js, JavaScript, 0, 165, 0, 0, 6, 171
e:\Attendance\screens\AssignSubjectScreen.js, JavaScript, 0, 297, 0, 2, 12, 311
e:\Attendance\screens\AttendanceInfoScreen.js, JavaScript, 0, 284, 0, 0, 17, 301
e:\Attendance\screens\AttendanceScreen.js, JavaScript, 0, 380, 0, 4, 17, 401
e:\Attendance\screens\CollegeScreen.js, JavaScript, 0, 108, 0, 1, 10, 119
e:\Attendance\screens\DeveloperScreen.js, JavaScript, 0, 207, 0, 0, 10, 217
e:\Attendance\screens\EditStudentProfileScreen.js, JavaScript, 0, 338, 0, 0, 17, 355
e:\Attendance\screens\FacultyReportScreen.js, JavaScript, 0, 292, 0, 4, 34, 330
e:\Attendance\screens\FacultyWelcomeScreen.js, JavaScript, 0, 220, 0, 1, 18, 239
e:\Attendance\screens\FeedbackScreen.js, JavaScript, 0, 168, 0, 0, 22, 190
e:\Attendance\screens\ForgotPasswordScreen.js, JavaScript, 0, 142, 0, 0, 6, 148
e:\Attendance\screens\HomeScreen.js, JavaScript, 0, 296, 0, 0, 17, 313
e:\Attendance\screens\LoginScreen.js, JavaScript, 0, 531, 0, 4, 33, 568
e:\Attendance\screens\RcvNotificationScreen.js, JavaScript, 0, 196, 0, 0, 12, 208
e:\Attendance\screens\Screen2.js, JavaScript, 0, 20, 0, 4, 2, 26
e:\Attendance\screens\Screen3.js, JavaScript, 0, 20, 0, 4, 2, 26
e:\Attendance\screens\SearchStudentScreen.js, JavaScript, 0, 151, 0, 0, 9, 160
e:\Attendance\screens\SendNotificationScreen.js, JavaScript, 0, 297, 0, 3, 19, 319
e:\Attendance\screens\ShowAttendanceScreen.js, JavaScript, 0, 182, 0, 0, 22, 204
e:\Attendance\screens\ShowFeedbackScreen.js, JavaScript, 0, 192, 0, 4, 16, 212
e:\Attendance\screens\SignUp.js, JavaScript, 0, 257, 0, 2, 12, 271
e:\Attendance\screens\StudentAttendanceScreen.js, JavaScript, 0, 347, 0, 2, 17, 366
e:\Attendance\screens\StudentDetailScreen.js, JavaScript, 0, 149, 0, 0, 6, 155
e:\Attendance\screens\StudentProfileScreen.js, JavaScript, 0, 164, 0, 0, 5, 169
e:\Attendance\screens\StudentWelcomeScreen.js, JavaScript, 0, 150, 0, 12, 5, 167
e:\Attendance\sidemenu.js, JavaScript, 0, 167, 0, 1, 9, 177
Total, -, 8862, 8889, 4, 76, 592, 18423
